url,price,title
https://www.olx.in/item/4pieces-of-cable-setupbox-its-good-working-ID1fqg2p.html,650,4pieces of cable setupbox its good working
https://www.olx.in/item/6-month-again-good-start-dvd-ID1fqg3d.html,1550,6 month again good start dvd
https://www.olx.in/item/crt-tv-for-sale-ID1fqg1z.html,1750,CRT TV for sale
https://www.olx.in/item/black-philips-crt-tv-ID1fqg3h.html,6000,Black Philips CRT TV
https://www.olx.in/item/gray-crt-tv-ID1fqf4J.html,2500,Gray CRT TV
https://www.olx.in/item/gray-crt-tv-ID1fqf5Z.html,5200,Gray CRT TV
https://www.olx.in/item/24-sony-full-hd-tv-full-hd-with-warranty-ID1ds2LF.html,6500,"24""Sony Full HD TV full hd with warranty"
https://www.olx.in/item/torch-led-battery-pawaani-peni-navi-1-price-50-rs-ID1fqf4r.html,50,Torch led battery pawaani peni navi 1 price 50 rs
https://www.olx.in/item/32-sony-led-smart-tv-full-hd-with-warranty-ID1djmqw.html,11999,"32""Sony LED Smart TV full hd with warranty"
https://www.olx.in/item/flat-screen-tv-with-remote-ID1fqf6X.html,2500,Flat Screen TV With Remote
https://www.olx.in/item/hello-im-selling-my-jbl-sub-woofers-and-accsories-ID1fqf6F.html,15500,Hello im selling my JBL sub woofers and accsories
https://www.olx.in/item/onida-brand-tv-ID1fbymX.html,3500,Onida brand TV
https://www.olx.in/item/samsung-earphone-original-ID1fqfaD.html,250,Samsung earphone original
https://www.olx.in/item/lgultra4khdled3d-smarttv-49inches-including-sound-bar-immediate-sale-ID1fqfiD.html,85000,LgUltra4kHdLed3d SmartTv 49inches including sound bar immediate sale
https://www.olx.in/item/ab-saste-mai-led-all-size-available-1year-warranty-with-bill-ID1fqeO3.html,7499,Ab saste mai led all size available 1year warranty with bill
https://www.olx.in/item/lg-crt-tv-in-kanpur-shyam-nagar-21-inch-lg-ID1fqfbh.html,4000,LG CRT TV In Kanpur Shyam Nagar -21 Inch -LG
https://www.olx.in/item/sony-full-hd-led-tv-klv-40r452-ID1fqfqF.html,22500,Sony full HD led TV klv-40r452
https://www.olx.in/item/samsung-46inch-3d-smart-led-tv-with-box-excellent-ID1fqflh.html,35000,Samsung 46inch 3d Smart Led Tv with Box excellent
https://www.olx.in/item/tv-kontra-educational-book-ID1fqfqp.html,1600,TV Kontra Educational Book
https://www.olx.in/item/gray-crt-tv-ID1fqfrp.html,8000,Gray CRT TV
https://www.olx.in/item/now-first-time-lucknow-in-computer-formatting-at-ID1fqfnD.html,200,Now first time lucknow in computer formatting at
https://www.olx.in/item/29-inch-tv-in-mint-condition-selling-only-bcz-of-shifting-only-ID1f56uH.html,3400,"29 inch TV IN MINT CONDITION,selling only bcz of shifting only"
https://www.olx.in/item/32-inch-samsung-sony-panel-led-tv-892322885-5-ID1fqfoN.html,11500,"32 inch samsung sony panel led tv, 892322885.5"
https://www.olx.in/item/apple-tv-64gb-4th-gen-ID1fqeGJ.html,10000,Apple TV 64gb 4th gen
https://www.olx.in/item/samsung-led-tv-40-inch-ID1f4INl.html,20500,Samsung Led TV 40 Inch
https://www.olx.in/item/showcase-cupboard-in-good-condition-ID1fhACn.html,3000,Showcase cupboard in good condition
